Title,Body,Labels,Milestone
[P1] GitHub-Repo initialisieren + Basis-Struktur anlegen,"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-07
**Deliverable/Artefakt:** Repo 'analytics-platform-marco' mit Ordnern
**KPI/Erfolgskriterium:** Repo angelegt; Readme vorhanden
**Schätzung (h):** 1",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
"[P1] README mit Zielen, Zeitbudget, Architektur-Überblick erstellen","**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-10
**Deliverable/Artefakt:** README.md v1
**KPI/Erfolgskriterium:** README mit Zielbild und Meilensteinen
**Schätzung (h):** 2",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
"[P2] Conventional Commits, PR-Template, CODEOWNERS einrichten","**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-12
**Deliverable/Artefakt:** .github/ Ordner
**KPI/Erfolgskriterium:** Templates aktiv
**Schätzung (h):** 1",Roadmap; Phase:Okt 2025; Prio:P2,Okt 2025 – Fundament & Setup
"[P1] GCP-Projekt erstellen (IAM, Service Accounts, KMS)","**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-15
**Deliverable/Artefakt:** GCP Projekt + SA + KMS
**KPI/Erfolgskriterium:** Least-Privilege-Rollen definiert
**Schätzung (h):** 3",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
[P1] Budget- & Kosten-Alerts in GCP setzen,"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-16
**Deliverable/Artefakt:** Budget Alert
**KPI/Erfolgskriterium:** Alert-Benachrichtigung testet positiv
**Schätzung (h):** 1",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
[P1] BigQuery Datasets anlegen + Partitioning/Clustering testen,"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-18
**Deliverable/Artefakt:** bq Datasets + Part/Cluster Tabellen
**KPI/Erfolgskriterium:** Partition/Cluster aktiv; Kostenlabel gesetzt
**Schätzung (h):** 2",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
[P1] Public-Datensatz laden (Events/Logs) + erste Queries,"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-20
**Deliverable/Artefakt:** BQ Tabelle + Notebook
**KPI/Erfolgskriterium:** 10+ Abfragen erfolgreich
**Schätzung (h):** 2",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
[P1] Synthetische Piano-Events generieren (Schema entwerfen),"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-22
**Deliverable/Artefakt:** events_parquet / BQ landing
**KPI/Erfolgskriterium:** Schema dokumentiert
**Schätzung (h):** 2",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
[P1] SQL-Drills: JOIN/CTE/Window (täglich 30–45 min),"**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-25
**Deliverable/Artefakt:** SQL-Notebook/Übungsordner
**KPI/Erfolgskriterium:** 25+ Übungen abgeschlossen
**Schätzung (h):** 6",Roadmap; Phase:Okt 2025; Prio:P1,Okt 2025 – Fundament & Setup
"[P2] Query-Performance: EXPLAIN, Denormalisierung vs. Star","**Phase:** Okt 2025 – Fundament & Setup
**Monat:** 2025-10
**Fällig bis:** 2025-10-27
**Deliverable/Artefakt:** Cheatsheet Performance
**KPI/Erfolgskriterium:** 3 Performance-Gewinne dokumentiert
**Schätzung (h):** 2",Roadmap; Phase:Okt 2025; Prio:P2,Okt 2025 – Fundament & Setup
