Phase,Monat,Fällig bis,Aufgabe,Deliverable/Artefakt,KPI/Erfolgskriterium,Priorität,Schätzung (h),Status,Abhängigkeiten
Okt 2025 – Fundament & Setup,2025-10,2025-10-07,GitHub-Repo initialisieren + Basis-Struktur anlegen,Repo 'analytics-platform-marco' mit Ordnern,Repo angelegt; Readme vorhanden,P1,1,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-10,"README mit Zielen, Zeitbudget, Architektur-Überblick erstellen",README.md v1,README mit Zielbild und Meilensteinen,P1,2,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-12,"Conventional Commits, PR-Template, CODEOWNERS einrichten",.github/ Ordner,Templates aktiv,P2,1,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-15,"GCP-Projekt erstellen (IAM, Service Accounts, KMS)",GCP Projekt + SA + KMS,Least-Privilege-Rollen definiert,P1,3,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-16,Budget- & Kosten-Alerts in GCP setzen,Budget Alert,Alert-Benachrichtigung testet positiv,P1,1,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-18,BigQuery Datasets anlegen + Partitioning/Clustering testen,bq Datasets + Part/Cluster Tabellen,Partition/Cluster aktiv; Kostenlabel gesetzt,P1,2,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-20,Public-Datensatz laden (Events/Logs) + erste Queries,BQ Tabelle + Notebook,10+ Abfragen erfolgreich,P1,2,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-22,Synthetische Piano-Events generieren (Schema entwerfen),events_parquet / BQ landing,Schema dokumentiert,P1,2,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-25,SQL-Drills: JOIN/CTE/Window (täglich 30–45 min),SQL-Notebook/Übungsordner,25+ Übungen abgeschlossen,P1,6,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-27,"Query-Performance: EXPLAIN, Denormalisierung vs. Star",Cheatsheet Performance,3 Performance-Gewinne dokumentiert,P2,2,To Do,
Okt 2025 – Fundament & Setup,2025-10,2025-10-31,Kosten-Guidelines & Naming/Labeling-Standards,Guideline-Dokument,Dokument im Repo,P2,1,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-03,"Star-Schema skizzieren: fact_events, dim_session, dim_user, dim_content",Schema-Diagramm,Abnahme der Entitäten/Keys,P1,2,To Do,BQE Tabellen vorhanden
Nov 2025 – Modellierung & dbt,2025-11,2025-11-05,"dbt Projekt initialisieren (sources, profiles)",dbt Projektstruktur,dbt run funktioniert,P1,2,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-10,Staging-Modelle bauen (Bronze → Silver),models/staging/*,Alle Pflichtfelder gecastet/benannt,P1,4,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-14,Core/Marts-Modelle + Materialisierung (table/incremental),"models/core, marts",Inkrementelle Loads laufen,P1,4,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-17,dbt Tests: not_null/unique/relationships/accepted_values,tests/*.yml,≥40 Tests grün,P1,3,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-20,dbt Docs + Semantic Layer (Metriken) generieren,dbt docs artefakt,Docs baubar & erreichbar,P1,2,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-22,sqlfluff Linting + Pre-commit einführen,sqlfluff.ini + hooks,CI schlägt bei Verstößen an,P2,2,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-28,"Seeds/Lookups (UTM, Channels) hinzufügen",seeds/*.csv,Seeds in Models referenziert,P2,1,To Do,
Nov 2025 – Modellierung & dbt,2025-11,2025-11-30,dbt Build in GitHub Actions (einfacher CI-Job),.github/workflows/dbt.yml,Build & Tests laufen grün,P1,2,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-05,Orchestrator wählen (Airflow/Composer oder Prefect),Entscheidungsnotiz,Tool & Kosten bewertet,P1,1,To Do,
